ID,Date,Time,Weekday,Recipe,Ingredient,Planned Qty,Wastage Qty,Expected Waste Qty,Sales Qty,Unit,Unit Cost,Total Cost,Wastage Cost,Kitchen Station,Shift,Prep Method,Prep Time (mins),Shelf Life (days),Stock Received Date,Expiry Date,Supplier Name,Temperature (°C),Weather Condition,Peak Hour Flag,Branch,Branch Manager,Chef,Status,Chef_Feedback
11,03-Aug-24,19:30,Saturday,Apple Pie,Mixed Veg,20,5,2,13,kg,72,1440,360,Salad Station,Morning,Boiled,23,3,01-Aug-24,04-Aug-24,GreenLeaf Suppliers,12,Cold,TRUE,New York - Main,Robert,Chef Lee,,
12,22-Sep-24,17:00,Sunday,Ice Cream Sundae,Ice Cream,27,4,2,22,pieces,55,1485,220,Grill Station,Afternoon,Frozen,47,30,19-Sep-24,19-Oct-24,Urban Harvest,22,Cloudy,FALSE,Houston - Central,Emily,Chef Anna,,
13,22-May-24,22:15,Wednesday,Apple Pie,Mixed Veg,18,3,1,14,kg,72,1296,216,Pastry Station,Night,Boiled,12,3,15-May-24,18-May-24,Urban Harvest,30,Hot,FALSE,New York - Main,Robert,Chef Anna,,
14,23-May-24,09:15,Thursday,Iced Tea,Ice Cream,22,6,2,13,pieces,52,1144,312,Soup Station,Morning,Frozen,36,30,21-May-24,20-Jun-24,Urban Harvest,28,Hot,FALSE,Houston - Central,Emily,Chef David,,
15,12-Aug-24,20:00,Monday,Chicken Biryani,Chicken,5,0,0,5,kg,264,1320,0,Soup Station,Afternoon,Grilled,57,2,07-Aug-24,09-Aug-24,SpiceKart Foods,24,Cloudy,TRUE,New York - Main,Robert,Chef Maria,,
16,13-Mar-25,14:15,Thursday,Smoothie,Mixed Berries,6,1,0,4,grams,312,1872,312,Main Course Station,Morning,Raw,14,3,09-Mar-25,12-Mar-25,Urban Harvest,23,Cloudy,FALSE,Los Angeles - Downtown,James,Chef David,,
17,18-Feb-24,08:00,Sunday,Fish Fingers,Mixed Veg,50,9,4,41,kg,67,3350,603,Soup Station,Afternoon,Boiled,22,3,11-Feb-24,14-Feb-24,FreshFarm Co.,34,Hot,FALSE,New York - Main,Robert,Chef Lee,,
18,15-Jul-24,12:45,Monday,Paneer Butter Masala,Paneer,44,8,6,35,kg,258,11352,2064,Soup Station,Morning,Fried,15,3,12-Jul-24,15-Jul-24,GreenLeaf Suppliers,23,Cloudy,TRUE,Houston - Central,Emily,Chef Lee,,
19,24-Jan-24,15:45,Wednesday,Fish Fingers,Mixed Veg,5,0,0,3,kg,67,335,0,Main Course Station,Morning,Boiled,42,3,17-Jan-24,20-Jan-24,FreshFarm Co.,30,Hot,FALSE,New York - Main,Robert,Chef David,,
20,25-Nov-24,17:45,Monday,Pasta Alfredo,Pasta,10,2,1,8,kg,116,1160,232,Salad Station,Night,Boiled,29,365,23-Nov-24,23-Nov-25,DailyDairy Ltd.,22,Cloudy,FALSE,Houston - Central,Emily,Chef Lee,,
21,12-May-25,14:15,Monday,Apple Pie,Mixed Veg,30,2,2,26,kg,68,2040,136,Main Course Station,Afternoon,Boiled,43,3,07-May-25,10-May-25,GreenLeaf Suppliers,10,Cold,FALSE,Houston - Central,Emily,Chef John,,
22,26-Nov-24,10:00,Tuesday,Tacos,Mixed Veg,34,3,4,30,kg,71,2414,213,Grill Station,Morning,Boiled,47,3,21-Nov-24,24-Nov-24,FreshFarm Co.,18,Cold,FALSE,New York - Main,Robert,Chef David,,
23,23-Dec-24,22:30,Monday,Tacos,Mixed Veg,47,6,4,38,kg,74,3478,444,Grill Station,Morning,Boiled,12,3,20-Dec-24,23-Dec-24,FreshFarm Co.,30,Sunny,FALSE,New York - Main,Robert,Chef John,,
24,18-Oct-24,09:15,Friday,Paneer Butter Masala,Paneer,37,2,4,34,kg,300,11100,600,Salad Station,Afternoon,Fried,57,3,15-Oct-24,18-Oct-24,Urban Harvest,23,Rainy,FALSE,New York - Main,Robert,Chef Maria,,
25,13-Feb-24,22:15,Tuesday,Tomato Soup,Tomato,12,1,1,11,kg,41,492,41,Main Course Station,Afternoon,Boiled,24,5,07-Feb-24,12-Feb-24,SpiceKart Foods,33,Hot,FALSE,Houston - Central,Emily,Chef Maria,,
26,20-Nov-24,14:00,Wednesday,Apple Pie,Mixed Veg,44,6,4,38,kg,67,2948,402,Grill Station,Afternoon,Boiled,18,3,17-Nov-24,20-Nov-24,DailyDairy Ltd.,26,Rainy,FALSE,Houston - Central,Emily,Chef John,,
27,08-Feb-25,07:30,Saturday,Brownie,Chocolate,28,3,2,23,grams,192,5376,576,Main Course Station,Afternoon,Baked,50,90,03-Feb-25,04-May-25,DailyDairy Ltd.,22,Rainy,FALSE,Houston - Central,Emily,Chef David,,
28,22-Feb-24,19:30,Thursday,Ice Cream Sundae,Ice Cream,48,7,5,38,pieces,49,2352,343,Main Course Station,Afternoon,Frozen,42,30,20-Feb-24,21-Mar-24,GreenLeaf Suppliers,28,Sunny,TRUE,Los Angeles - Downtown,James,Chef Maria,,
29,27-Jul-24,12:15,Saturday,Ice Cream Sundae,Ice Cream,50,11,4,37,pieces,46,2300,506,Main Course Station,Morning,Frozen,21,30,24-Jul-24,23-Aug-24,SpiceKart Foods,35,Hot,TRUE,New York - Main,Robert,Chef Lee,,
30,16-Jun-24,16:30,Sunday,Smoothie,Mixed Berries,38,4,3,34,grams,326,12388,1304,Salad Station,Morning,Raw,58,3,14-Jun-24,17-Jun-24,SpiceKart Foods,11,Cold,FALSE,New York - Main,Robert,Chef Lee,,
31,30-Dec-24,14:30,Monday,Cheeseburger,Cheese,7,0,0,5,grams,208,1456,0,Soup Station,Afternoon,Raw,52,10,25-Dec-24,04-Jan-25,Urban Harvest,30,Hot,FALSE,Houston - Central,Emily,Chef Anna,,
32,16-Sep-24,12:45,Monday,Smoothie,Mixed Berries,24,4,2,18,grams,289,6936,1156,Grill Station,Afternoon,Raw,12,3,13-Sep-24,16-Sep-24,SpiceKart Foods,20,Rainy,TRUE,Houston - Central,Emily,Chef Maria,,
33,24-Oct-24,22:00,Thursday,Fish Fingers,Mixed Veg,39,6,3,32,kg,76,2964,456,Soup Station,Afternoon,Boiled,13,3,23-Oct-24,26-Oct-24,FreshFarm Co.,28,Sunny,FALSE,Houston - Central,Emily,Chef Lee,,
34,15-Nov-24,21:00,Friday,Cheesecake,Cheese,20,3,2,16,grams,213,4260,639,Soup Station,Afternoon,Raw,50,10,11-Nov-24,21-Nov-24,FreshFarm Co.,21,Rainy,FALSE,Houston - Central,Emily,Chef Maria,,
35,18-Jul-24,06:45,Thursday,Soda,Mixed Veg,35,8,3,26,kg,75,2625,600,Grill Station,Morning,Boiled,57,3,12-Jul-24,15-Jul-24,SpiceKart Foods,29,Sunny,FALSE,Houston - Central,Emily,Chef Maria,,
36,20-Sep-24,07:00,Friday,Soda,Mixed Veg,27,7,3,20,kg,71,1917,497,Soup Station,Night,Boiled,17,3,17-Sep-24,20-Sep-24,SpiceKart Foods,23,Cloudy,FALSE,New York - Main,Robert,Chef Anna,,
37,13-Nov-24,18:15,Wednesday,Pasta Alfredo,Pasta,49,8,5,40,kg,106,5194,848,Pastry Station,Night,Boiled,40,365,08-Nov-24,08-Nov-25,GreenLeaf Suppliers,28,Sunny,FALSE,Houston - Central,Emily,Chef Anna,,
38,03-Jan-25,11:15,Friday,Tacos,Mixed Veg,19,1,1,18,kg,74,1406,74,Salad Station,Night,Boiled,39,3,29-Dec-24,01-Jan-25,DailyDairy Ltd.,10,Cold,FALSE,New York - Main,Robert,Chef Anna,,
39,08-Jan-25,14:45,Wednesday,Iced Tea,Ice Cream,39,10,4,26,pieces,48,1872,480,Pastry Station,Afternoon,Frozen,57,30,02-Jan-25,01-Feb-25,Urban Harvest,27,Sunny,FALSE,Houston - Central,Emily,Chef Lee,,
40,17-Jan-25,15:45,Friday,Mushroom Soup,Tomato,46,8,4,35,kg,42,1932,336,Salad Station,Night,Boiled,11,5,11-Jan-25,16-Jan-25,GreenLeaf Suppliers,29,Sunny,FALSE,New York - Main,Robert,Chef Maria,,
41,12-Mar-25,17:00,Wednesday,Cheeseburger,Cheese,22,2,2,17,grams,206,4532,412,Main Course Station,Morning,Raw,23,10,09-Mar-25,19-Mar-25,SpiceKart Foods,18,Cold,FALSE,New York - Main,Robert,Chef Lee,,
42,25-Sep-24,22:00,Wednesday,Apple Pie,Mixed Veg,26,4,3,22,kg,74,1924,296,Main Course Station,Morning,Boiled,51,3,22-Sep-24,25-Sep-24,FreshFarm Co.,30,Hot,FALSE,Houston - Central,Emily,Chef Lee,,
43,21-Oct-24,18:45,Monday,Chicken Biryani,Chicken,19,4,2,12,kg,255,4845,1020,Main Course Station,Afternoon,Grilled,54,2,20-Oct-24,22-Oct-24,SpiceKart Foods,28,Cloudy,FALSE,Houston - Central,Emily,Chef David,,
44,15-Jan-24,11:00,Monday,Brownie,Chocolate,7,0,0,6,grams,187,1309,0,Salad Station,Afternoon,Baked,56,90,13-Jan-24,12-Apr-24,DailyDairy Ltd.,11,Cold,FALSE,New York - Main,Robert,Chef David,,
45,20-Mar-25,21:00,Thursday,Grilled Chicken,Chicken,43,9,6,32,kg,227,9761,2043,Pastry Station,Morning,Grilled,29,2,13-Mar-25,15-Mar-25,GreenLeaf Suppliers,13,Cold,FALSE,Houston - Central,Emily,Chef David,,
46,08-Oct-24,16:30,Tuesday,Mushroom Soup,Tomato,15,1,2,14,kg,42,630,42,Soup Station,Morning,Boiled,29,5,07-Oct-24,12-Oct-24,Urban Harvest,18,Cold,FALSE,Los Angeles - Downtown,James,Chef David,,
47,22-Jan-25,10:30,Wednesday,Cheeseburger,Cheese,6,0,0,6,grams,184,1104,0,Main Course Station,Afternoon,Raw,30,10,15-Jan-25,25-Jan-25,SpiceKart Foods,27,Cloudy,FALSE,New York - Main,Robert,Chef Lee,,
48,01-Jul-24,19:15,Monday,Mushroom Soup,Tomato,22,5,2,15,kg,45,990,225,Soup Station,Morning,Boiled,35,5,27-Jun-24,02-Jul-24,SpiceKart Foods,25,Sunny,TRUE,Houston - Central,Emily,Chef Lee,,
49,15-Aug-24,15:45,Thursday,Grilled Chicken,Chicken,47,10,5,34,kg,250,11750,2500,Soup Station,Night,Grilled,23,2,14-Aug-24,16-Aug-24,DailyDairy Ltd.,25,Rainy,FALSE,Houston - Central,Emily,Chef Maria,,
50,25-Mar-25,11:45,Tuesday,Soda,Mixed Veg,45,7,5,38,kg,75,3375,525,Soup Station,Morning,Boiled,24,3,18-Mar-25,21-Mar-25,DailyDairy Ltd.,25,Rainy,FALSE,New York - Main,Robert,Chef Maria,,
51,21-Mar-24,16:45,Thursday,Pasta Alfredo,Pasta,12,2,1,9,kg,117,1404,234,Pastry Station,Afternoon,Boiled,40,365,17-Mar-24,17-Mar-25,GreenLeaf Suppliers,25,Cloudy,FALSE,New York - Main,Robert,Chef Maria,,
52,15-Nov-24,16:00,Friday,Pasta Alfredo,Pasta,39,6,4,32,kg,99,3861,594,Pastry Station,Morning,Boiled,30,365,12-Nov-24,12-Nov-25,FreshFarm Co.,23,Rainy,FALSE,New York - Main,Robert,Chef Maria,,
53,18-Oct-24,16:15,Friday,Spicy Chicken Wings,Chicken,13,2,1,10,kg,231,3003,462,Main Course Station,Morning,Grilled,40,2,17-Oct-24,19-Oct-24,SpiceKart Foods,23,Rainy,FALSE,Houston - Central,Emily,Chef John,,
54,30-Jul-24,19:45,Tuesday,Paneer Butter Masala,Paneer,28,3,2,24,kg,284,7952,852,Main Course Station,Afternoon,Fried,50,3,27-Jul-24,30-Jul-24,GreenLeaf Suppliers,28,Cloudy,TRUE,Houston - Central,Emily,Chef Maria,,
55,18-Sep-24,22:30,Wednesday,Iced Tea,Ice Cream,42,11,5,31,pieces,47,1974,517,Main Course Station,Morning,Frozen,16,30,17-Sep-24,17-Oct-24,SpiceKart Foods,33,Hot,FALSE,Houston - Central,Emily,Chef Anna,,
56,11-Oct-24,06:45,Friday,Iced Tea,Ice Cream,21,1,2,19,pieces,54,1134,54,Soup Station,Afternoon,Frozen,31,30,10-Oct-24,09-Nov-24,FreshFarm Co.,20,Rainy,FALSE,Houston - Central,Emily,Chef John,,
57,23-Jul-24,07:30,Tuesday,Grilled Chicken,Chicken,15,3,1,10,kg,252,3780,756,Main Course Station,Night,Grilled,50,2,18-Jul-24,20-Jul-24,Urban Harvest,31,Hot,FALSE,New York - Main,Robert,Chef David,,
58,22-Sep-24,08:00,Sunday,Chocolate Milkshake,Milk,44,6,4,36,liters,59,2596,354,Soup Station,Morning,Boiled,33,4,20-Sep-24,24-Sep-24,Urban Harvest,26,Cloudy,FALSE,Houston - Central,Emily,Chef Lee,,
59,17-Sep-24,14:45,Tuesday,Iced Tea,Ice Cream,42,2,5,38,pieces,48,2016,96,Salad Station,Afternoon,Frozen,17,30,11-Sep-24,11-Oct-24,DailyDairy Ltd.,10,Cold,FALSE,New York - Main,Robert,Chef David,,
60,18-Oct-24,06:00,Friday,Brownie,Chocolate,6,0,0,5,grams,194,1164,0,Salad Station,Morning,Baked,31,90,13-Oct-24,11-Jan-25,Urban Harvest,27,Sunny,FALSE,Los Angeles - Downtown,James,Chef David,,
61,01-Feb-24,22:00,Thursday,Iced Tea,Ice Cream,33,9,3,22,pieces,53,1749,477,Pastry Station,Morning,Frozen,18,30,30-Jan-24,29-Feb-24,GreenLeaf Suppliers,28,Cloudy,FALSE,Los Angeles - Downtown,James,Chef John,,
62,17-Jun-24,07:00,Monday,Ice Cream Sundae,Ice Cream,32,6,2,25,pieces,46,1472,276,Grill Station,Morning,Frozen,36,30,12-Jun-24,12-Jul-24,SpiceKart Foods,30,Hot,FALSE,New York - Main,Robert,Chef John,,
63,29-Sep-24,13:00,Sunday,Ice Cream Sundae,Ice Cream,29,4,2,24,pieces,47,1363,188,Grill Station,Night,Frozen,55,30,27-Sep-24,27-Oct-24,FreshFarm Co.,25,Sunny,TRUE,Los Angeles - Downtown,James,Chef Anna,,
64,27-Feb-25,18:15,Thursday,Brownie,Chocolate,16,1,1,15,grams,194,3104,194,Pastry Station,Night,Baked,35,90,22-Feb-25,23-May-25,SpiceKart Foods,13,Cold,FALSE,Los Angeles - Downtown,James,Chef John,,
65,13-Apr-25,21:15,Sunday,Apple Pie,Mixed Veg,14,0,1,14,kg,76,1064,0,Main Course Station,Morning,Boiled,26,3,06-Apr-25,09-Apr-25,GreenLeaf Suppliers,35,Hot,FALSE,New York - Main,Robert,Chef John,,
66,06-Jul-24,15:15,Saturday,Tomato Soup,Tomato,9,1,0,8,kg,43,387,43,Grill Station,Morning,Boiled,51,5,01-Jul-24,06-Jul-24,GreenLeaf Suppliers,25,Sunny,FALSE,New York - Main,Robert,Chef David,,
67,29-Apr-25,17:15,Tuesday,Chicken Biryani,Chicken,27,1,2,23,kg,244,6588,244,Soup Station,Morning,Grilled,30,2,22-Apr-25,24-Apr-25,Urban Harvest,18,Cold,FALSE,New York - Main,Robert,Chef John,,
68,04-Oct-24,20:15,Friday,Pasta Alfredo,Pasta,28,1,3,25,kg,115,3220,115,Main Course Station,Morning,Boiled,59,365,30-Sep-24,30-Sep-25,FreshFarm Co.,31,Hot,TRUE,Houston - Central,Emily,Chef John,,
69,24-Jan-24,11:15,Wednesday,Fish Fingers,Mixed Veg,22,2,2,20,kg,73,1606,146,Grill Station,Afternoon,Boiled,58,3,19-Jan-24,22-Jan-24,SpiceKart Foods,31,Hot,FALSE,Houston - Central,Emily,Chef Maria,,
70,26-Feb-25,14:00,Wednesday,Apple Pie,Mixed Veg,40,7,5,32,kg,67,2680,469,Soup Station,Night,Boiled,53,3,20-Feb-25,23-Feb-25,SpiceKart Foods,28,Cloudy,FALSE,Houston - Central,Emily,Chef John,,
71,17-Aug-24,10:15,Saturday,Ice Cream Sundae,Ice Cream,37,7,5,29,pieces,47,1739,329,Main Course Station,Morning,Frozen,15,30,11-Aug-24,10-Sep-24,GreenLeaf Suppliers,25,Cloudy,FALSE,New York - Main,Robert,Chef David,,
72,13-Oct-24,21:30,Sunday,Brownie,Chocolate,22,3,1,16,grams,165,3630,495,Soup Station,Morning,Baked,36,90,08-Oct-24,06-Jan-25,GreenLeaf Suppliers,33,Hot,FALSE,Houston - Central,Emily,Chef Lee,,
73,13-Apr-24,06:00,Saturday,Chocolate Milkshake,Milk,24,6,2,16,liters,55,1320,330,Main Course Station,Afternoon,Boiled,50,4,07-Apr-24,11-Apr-24,SpiceKart Foods,30,Hot,FALSE,Los Angeles - Downtown,James,Chef Maria,,
74,19-Oct-24,16:00,Saturday,Apple Pie,Mixed Veg,25,5,3,17,kg,71,1775,355,Salad Station,Night,Boiled,19,3,17-Oct-24,20-Oct-24,DailyDairy Ltd.,32,Hot,FALSE,Houston - Central,Emily,Chef John,,
75,06-Apr-24,15:45,Saturday,Tacos,Mixed Veg,44,4,5,40,kg,66,2904,264,Grill Station,Afternoon,Boiled,22,3,31-Mar-24,03-Apr-24,DailyDairy Ltd.,26,Cloudy,FALSE,New York - Main,Robert,Chef David,,
76,17-Apr-24,13:30,Wednesday,Soda,Mixed Veg,15,1,1,13,kg,69,1035,69,Main Course Station,Afternoon,Boiled,59,3,13-Apr-24,16-Apr-24,DailyDairy Ltd.,18,Cold,TRUE,New York - Main,Robert,Chef John,,
77,04-Aug-24,08:00,Sunday,Chicken Biryani,Chicken,34,5,2,27,kg,241,8194,1205,Main Course Station,Night,Grilled,44,2,28-Jul-24,30-Jul-24,DailyDairy Ltd.,22,Cloudy,FALSE,Houston - Central,Emily,Chef Lee,,
78,02-Mar-24,22:15,Saturday,Chocolate Milkshake,Milk,46,7,5,37,liters,52,2392,364,Grill Station,Morning,Boiled,45,4,27-Feb-24,02-Mar-24,SpiceKart Foods,17,Cold,FALSE,Houston - Central,Emily,Chef Lee,,
79,22-Jan-24,14:30,Monday,Cheeseburger,Cheese,47,5,6,39,grams,201,9447,1005,Salad Station,Morning,Raw,25,10,17-Jan-24,27-Jan-24,Urban Harvest,28,Hot,FALSE,Houston - Central,Emily,Chef David,,
80,29-Dec-24,19:00,Sunday,Mutton Curry,Mixed Veg,36,2,3,34,kg,68,2448,136,Grill Station,Afternoon,Boiled,44,3,24-Dec-24,27-Dec-24,DailyDairy Ltd.,31,Hot,TRUE,Los Angeles - Downtown,James,Chef Lee,,
81,03-Oct-24,19:00,Thursday,Cheeseburger,Cheese,10,1,1,7,grams,191,1910,191,Main Course Station,Morning,Raw,30,10,29-Sep-24,09-Oct-24,DailyDairy Ltd.,21,Rainy,TRUE,Houston - Central,Emily,Chef Anna,,
82,30-Apr-25,07:00,Wednesday,Smoothie,Mixed Berries,17,0,2,14,grams,304,5168,0,Grill Station,Morning,Raw,17,3,25-Apr-25,28-Apr-25,GreenLeaf Suppliers,29,Sunny,FALSE,New York - Main,Robert,Chef Lee,,
83,20-Nov-24,16:45,Wednesday,Chocolate Milkshake,Milk,12,1,1,10,liters,51,612,51,Pastry Station,Morning,Boiled,12,4,18-Nov-24,22-Nov-24,SpiceKart Foods,16,Cold,FALSE,New York - Main,Robert,Chef John,,
84,04-Oct-24,21:45,Friday,Iced Tea,Ice Cream,34,3,4,31,pieces,54,1836,162,Main Course Station,Morning,Frozen,57,30,02-Oct-24,01-Nov-24,DailyDairy Ltd.,17,Cold,FALSE,New York - Main,Robert,Chef David,,
85,17-Apr-24,18:00,Wednesday,Veg Fried Rice,Rice,7,1,0,4,kg,92,644,92,Soup Station,Afternoon,Boiled,34,180,13-Apr-24,10-Oct-24,Urban Harvest,25,Cloudy,FALSE,New York - Main,Robert,Chef Lee,,
86,11-Mar-25,21:45,Tuesday,Mutton Curry,Mixed Veg,39,9,3,27,kg,68,2652,612,Soup Station,Morning,Boiled,16,3,07-Mar-25,10-Mar-25,Urban Harvest,22,Rainy,FALSE,New York - Main,Robert,Chef Maria,,
87,24-Jun-24,10:45,Monday,Chocolate Milkshake,Milk,50,10,6,38,liters,53,2650,530,Salad Station,Afternoon,Boiled,32,4,21-Jun-24,25-Jun-24,Urban Harvest,34,Hot,FALSE,Houston - Central,Emily,Chef Lee,,
88,20-Sep-24,19:45,Friday,Tacos,Mixed Veg,34,4,4,28,kg,64,2176,256,Pastry Station,Afternoon,Boiled,34,3,17-Sep-24,20-Sep-24,SpiceKart Foods,13,Cold,TRUE,Los Angeles - Downtown,James,Chef Anna,,
89,08-Mar-24,18:15,Friday,Soda,Mixed Veg,25,3,3,22,kg,71,1775,213,Salad Station,Morning,Boiled,22,3,06-Mar-24,09-Mar-24,SpiceKart Foods,24,Rainy,FALSE,New York - Main,Robert,Chef John,,
90,23-Mar-25,17:30,Sunday,Cheesecake,Cheese,14,1,1,11,grams,180,2520,180,Soup Station,Afternoon,Raw,18,10,19-Mar-25,29-Mar-25,GreenLeaf Suppliers,28,Hot,FALSE,Houston - Central,Emily,Chef Maria,,
91,25-Apr-24,20:00,Thursday,Veg Fried Rice,Rice,46,12,5,32,kg,96,4416,1152,Salad Station,Afternoon,Boiled,37,180,21-Apr-24,18-Oct-24,SpiceKart Foods,11,Cold,TRUE,Houston - Central,Emily,Chef Maria,,
92,12-Jan-25,20:30,Sunday,Fish Fingers,Mixed Veg,50,12,6,35,kg,68,3400,816,Grill Station,Afternoon,Boiled,47,3,07-Jan-25,10-Jan-25,DailyDairy Ltd.,28,Sunny,TRUE,New York - Main,Robert,Chef Lee,,
93,11-Feb-24,07:30,Sunday,Tomato Soup,Tomato,11,1,1,7,kg,46,506,46,Grill Station,Morning,Boiled,39,5,07-Feb-24,12-Feb-24,Urban Harvest,25,Cloudy,FALSE,Houston - Central,Emily,Chef John,,
94,04-Aug-24,18:15,Sunday,Grilled Chicken,Chicken,34,4,5,30,kg,237,8058,948,Salad Station,Afternoon,Grilled,29,2,30-Jul-24,01-Aug-24,SpiceKart Foods,34,Hot,FALSE,Los Angeles - Downtown,James,Chef David,,
95,17-Aug-24,08:45,Saturday,Smoothie,Mixed Berries,27,3,3,22,grams,329,8883,987,Salad Station,Afternoon,Raw,38,3,14-Aug-24,17-Aug-24,FreshFarm Co.,25,Rainy,FALSE,Houston - Central,Emily,Chef Maria,,
96,26-Mar-24,11:00,Tuesday,Grilled Chicken,Chicken,37,3,3,31,kg,253,9361,759,Salad Station,Morning,Grilled,36,2,19-Mar-24,21-Mar-24,FreshFarm Co.,24,Rainy,FALSE,Houston - Central,Emily,Chef John,,
97,09-Feb-24,21:30,Friday,Soda,Mixed Veg,49,2,6,47,kg,70,3430,140,Soup Station,Morning,Boiled,12,3,02-Feb-24,05-Feb-24,GreenLeaf Suppliers,24,Cloudy,FALSE,Los Angeles - Downtown,James,Chef David,,
98,19-May-25,18:15,Monday,Veg Fried Rice,Rice,26,0,3,25,kg,96,2496,0,Grill Station,Morning,Boiled,51,180,14-May-25,10-Nov-25,DailyDairy Ltd.,25,Cloudy,FALSE,Los Angeles - Downtown,James,Chef Lee,,
99,29-Sep-24,17:45,Sunday,Fish Fingers,Mixed Veg,13,1,1,12,kg,75,975,75,Main Course Station,Night,Boiled,46,3,23-Sep-24,26-Sep-24,DailyDairy Ltd.,25,Rainy,FALSE,New York - Main,Robert,Chef David,,
100,16-Aug-24,10:30,Friday,Fish Fingers,Mixed Veg,43,2,5,39,kg,75,3225,150,Main Course Station,Morning,Boiled,47,3,10-Aug-24,13-Aug-24,DailyDairy Ltd.,23,Rainy,FALSE,Houston - Central,Emily,Chef Maria,,
101,20-Mar-24,13:45,Wednesday,Veg Fried Rice,Rice,35,8,3,26,kg,84,2940,672,Grill Station,Afternoon,Boiled,10,180,18-Mar-24,14-Sep-24,Urban Harvest,11,Cold,TRUE,Los Angeles - Downtown,James,Chef David,,
102,09-Jan-25,17:15,Thursday,Spicy Chicken Wings,Chicken,24,4,3,19,kg,222,5328,888,Grill Station,Afternoon,Grilled,21,2,04-Jan-25,06-Jan-25,FreshFarm Co.,22,Rainy,FALSE,Houston - Central,Emily,Chef Anna,,
103,08-Oct-24,11:45,Tuesday,Tacos,Mixed Veg,35,6,2,27,kg,66,2310,396,Salad Station,Night,Boiled,41,3,06-Oct-24,09-Oct-24,GreenLeaf Suppliers,28,Sunny,FALSE,New York - Main,Robert,Chef Maria,,
104,24-Aug-24,14:00,Saturday,Chicken Biryani,Chicken,20,3,1,14,kg,262,5240,786,Salad Station,Morning,Grilled,38,2,20-Aug-24,22-Aug-24,GreenLeaf Suppliers,22,Rainy,FALSE,Houston - Central,Emily,Chef Maria,,
105,22-Feb-25,17:45,Saturday,Paneer Butter Masala,Paneer,18,1,1,15,kg,278,5004,278,Soup Station,Night,Fried,27,3,21-Feb-25,24-Feb-25,FreshFarm Co.,32,Sunny,FALSE,New York - Main,Robert,Chef Lee,,
